date,AAPL,AMZN,NFLX,MSFT
2000-12-01,1.057925,24.625,NA,18.165438
2000-12-04,1.034674,26.5625,NA,18.105293
2000-12-05,1.05405,25.375,NA,19.208052
2000-12-06,0.887417,23.625,NA,18.185499
2000-12-07,0.887417,21.375,NA,17.042641
2000-12-08,0.933919,23.4375,NA,17.46369
2000-12-11,0.941669,25.3125,NA,18.626598
2000-12-12,0.953295,25.875,NA,18.726851
2000-12-13,0.930044,23.75,NA,18.365948
2000-12-14,0.895167,22.6875,NA,17.804543
2000-12-15,0.871916,22.875,NA,15.779478
2000-12-18,0.883542,19.875,NA,15.338371
2000-12-19,0.868041,18.25,NA,14.375967
2000-12-20,0.891292,16.6875,NA,13.313305
2000-12-21,0.871916,15.1875,NA,13.934863
2000-12-22,0.930044,15.5625,NA,14.897271
2000-12-26,0.910668,16.9375,NA,15.037621
2000-12-27,0.918418,16.875,NA,14.897271
2000-12-28,0.918418,17.375,NA,14.295763000000001
2000-12-29,0.922293,15.5625,NA,13.914813
2001-01-02,0.922293,13.875,NA,13.914813
2001-01-03,1.015298,17.5625,NA,15.378474
2001-01-04,1.057925,15.5,NA,15.538875
2001-01-05,1.015298,14.5625,NA,15.759432
2001-01-08,1.026923,14.9375,NA,15.699271
2001-01-09,1.065675,16.375,NA,16.621584
2001-01-10,1.026923,16.5,NA,16.962435
2001-01-11,1.116052,17,NA,17.64414
2001-01-12,1.065675,17.6875,NA,17.16293
2001-01-16,1.0618,18.0625,NA,16.862183
2001-01-17,1.042424,18.375,NA,16.982481
2001-01-18,1.158679,19.5,NA,17.804543
2001-01-19,1.209057,19.9375,NA,19.568958
2001-01-22,1.193556,18.5,NA,19.288256
2001-01-23,1.271059,18.953125,NA,19.42861
2001-01-24,1.271059,21.875,NA,20.190508
2001-01-25,1.236184,19,NA,19.829607
2001-01-26,1.212932,19.5,NA,20.531364
2001-01-29,1.344688,20.125,NA,20.691765
2001-01-30,1.348564,18.9375,NA,20.33086
2001-01-31,1.340813,17.3125,NA,19.589005
2001-02-01,1.309812,16.25,NA,20.010061
2001-02-02,1.27881,14.375,NA,19.508804
2001-02-05,1.251684,14.4375,NA,19.869709
2001-02-06,1.309812,15.8125,NA,20.070211
2001-02-07,1.286561,15,NA,20.751909
2001-02-08,1.286561,14.375,NA,19.969957
2001-02-09,1.185806,13.375,NA,18.967451
2001-02-12,1.220683,14.5,NA,18.847151
2001-02-13,1.185806,13.75,NA,18.666702
2001-02-14,1.209057,14.4375,NA,18.726851
2001-02-15,1.243934,14.5,NA,18.867195
2001-02-16,1.178055,13.6875,NA,18.386002
2001-02-20,1.135428,12.5,NA,17.924845
2001-02-21,1.170305,11.9375,NA,18.045149
2001-02-22,1.16643,11.9375,NA,17.704288
2001-02-23,1.16643,11.8125,NA,18.205547
2001-02-26,1.209057,11.9375,NA,19.107803
2001-02-27,1.201306,11.75,NA,19.047646
2001-02-28,1.131553,10.1875,NA,18.927351
2001-03-01,1.162555,10.4375,NA,19.042637
2001-03-02,1.193556,10,NA,18.185499
2001-03-05,1.263309,12.625,NA,18.426098
2001-03-06,1.333063,11.875,NA,19.067696
2001-03-07,1.317562,12.25,NA,19.468704
2001-03-08,1.290436,11.6875,NA,19.007547
2001-03-09,1.255559,12.25,NA,18.185499
2001-03-12,1.154804,10.625,NA,16.661684
2001-03-13,1.212932,11,NA,17.383492
2001-03-14,1.267184,10.625,NA,17.323334
2001-03-15,1.220683,10.875,NA,17.223083
2001-03-16,1.216807,11,NA,17.503788
2001-03-19,1.274935,10.5,NA,17.423592
2001-03-20,1.220683,10.25,NA,16.902283
2001-03-21,1.247809,10,NA,16.060188
2001-03-22,1.340813,10.1875,NA,17.323334
2001-03-23,1.426067,10.1875,NA,18.145384
2001-03-26,1.350423,10.94,NA,17.984997
