Sector,Purchase
Retail,3014
Finance,122162
Retail,61880
Finance,16338
Finance,3860
Finance,17065
Retail,15104
Finance,34532
Finance,6089
Finance,34680
Retail,6297
Finance,15631
Finance,40302
Finance,3311
Finance,17385
Retail,58605
Finance,59299
Finance,50087
Finance,31817
Retail,15197
Retail,32601
Finance,42198
Retail,1619
Finance,9063
Finance,22791
Finance,15384
Retail,189540
Retail,19319
Retail,76779
Retail,12773
Retail,7405
Finance,65698
Retail,8192
Retail,9538
Finance,74426
Retail,20094
Finance,21021
Finance,6891
Finance,10799
Retail,8660
Finance,25232
Retail,838
Finance,25359
Finance,53613
Retail,74073
Retail,1858
Finance,43352
Retail,20472
Finance,148619
Retail,17706
Retail,5082
Finance,16194
Finance,28939
Finance,2837
Retail,46865
Finance,46776
Finance,55456
Retail,28580
Retail,14107
Retail,15626
Retail,82041
Finance,21538
Finance,6197
Retail,802
Retail,5047
Retail,30329
Retail,70736
Retail,38445
Finance,130015
Retail,48813
Retail,22847
Retail,8980
Retail,25173
Retail,31922
Retail,44638
Finance,63041
Retail,6337
Finance,7539
Retail,3993
Finance,54463
Retail,4553
Retail,30405
Finance,3184
Retail,31076
Finance,22558
Finance,57056
Retail,99372
Retail,51484
Retail,1766
Retail,2397
Retail,118479
Retail,30581
Finance,6750
Retail,677
Finance,45895
Finance,32741
Retail,23362
Finance,27225
Finance,34927
Finance,33414
Finance,5182
Retail,18430
Retail,23818
Finance,13415
Retail,691
Retail,5050
Finance,65498
Finance,67652
Finance,3871
Retail,88644
Finance,17589
Finance,12940
Finance,74745
Finance,84035
Finance,115303
Finance,51083
Retail,43833
Retail,42387
Retail,109951
Finance,82648
Finance,4037
Retail,5972
Retail,37011
Retail,21119
Retail,14920
Finance,86789
Finance,7507
Retail,14488
Retail,370
Retail,171329
Finance,5994
Finance,13490
Retail,14080
Retail,95961
Retail,52933
Retail,63701
Retail,4978
Retail,9966
Retail,1639
Finance,13611
Finance,14641
Retail,70538
Retail,4849
Finance,27018
Retail,11690
Retail,44532
Finance,18942
Retail,9108
Finance,109021
Finance,37728
Finance,24807
Finance,3816
Retail,44225
Retail,24542
Finance,59737
Finance,178
Finance,117083
Finance,27081
Retail,15456
Finance,198781
Finance,189108
Finance,4776
Finance,51430
Finance,63846
Finance,50651
Finance,39082
Finance,39686
Finance,149463
Retail,4958
Retail,3160
Finance,121463
Retail,49449
Finance,88972
Finance,57235
Finance,22351
Finance,55846
Finance,49726
Finance,128435
Finance,13191
Retail,90128
Retail,40320
Retail,165
Finance,86042
Retail,21155
