date,GSPC,FTSE,HSI,N100
2000-12-01,1315.22998,6170.399902,14441.429688,1009
2000-12-04,1324.969971,6158.700195,14559.240234,988.900024
2000-12-05,1376.540039,6299,14573.209961,1017.190002
2000-12-06,1351.459961,6273.299805,15098.950195,1013.549988
2000-12-07,1343.550049,6231.399902,15011.519531,1011.450012
2000-12-08,1369.890015,6288.299805,15189.330078,1007.5
2000-12-11,1380.199951,6370.399902,15408.540039,1024.829956
2000-12-12,1371.180054,6390.399902,15329.599609,1020.130005
2000-12-13,1359.98999,6403,15621.730469,1008.619995
2000-12-14,1340.930054,6263.799805,15496.990234,994.789978
2000-12-15,1312.150024,6175.799805,14975.530273,980.590027
2000-12-18,1322.73999,6246.5,15024.530273,988.869995
2000-12-19,1305.599976,6295,15188.040039,1000.450012
2000-12-20,1264.73999,6176.700195,14930.719727,972.52002
2000-12-21,1274.859985,6115.5,14659.320313,970.460022
2000-12-22,1305.949951,6097.5,14738.209961,975.590027
2000-12-25,1305.949951,6097.5,14738.209961,975.590027
2000-12-26,1315.189941,6097.5,14738.209961,975.590027
2000-12-27,1328.920044,6218.200195,14748.360352,988.289978
2000-12-28,1334.219971,6223.200195,14796.549805,997.960022
2000-12-29,1320.280029,6222.5,15095.530273,997.25
2001-01-01,1320.280029,6222.5,15095.530273,997.25
2001-01-02,1283.27002,6174.700195,14869.94043,982.219971
2001-01-03,1347.560059,6039.899902,14589.580078,965.869995
2001-01-04,1333.339966,6185.600098,15235.030273,983.440002
2001-01-05,1298.349976,6198.100098,15447.610352,976.039978
2001-01-08,1295.859985,6149.600098,15436.530273,970.690002
2001-01-09,1300.800049,6088.100098,15500.589844,963.159973
2001-01-10,1313.27002,6059.899902,15435.790039,960.409973
2001-01-11,1326.819946,6114.899902,15090.769531,970.169983
2001-01-12,1318.550049,6165.5,15295.419922,986.059998
2001-01-15,1318.550049,6170.299805,15293.759766,987.700012
2001-01-16,1326.650024,6083.299805,15363.150391,974.929993
2001-01-17,1329.469971,6197.399902,15261.480469,993.619995
2001-01-18,1347.969971,6209.899902,15528.75,987.580017
2001-01-19,1342.540039,6209.299805,15933.549805,985
2001-01-22,1342.900024,6232,16099.269531,988.909973
2001-01-23,1360.400024,6214.700195,16044.209961,984.179993
2001-01-24,1364.300049,6264.399902,16044.209961,993.700012
2001-01-25,1357.51001,6255.600098,16044.209961,998.309998
2001-01-26,1354.949951,6294.299805,16044.209961,995.900024
2001-01-29,1364.170044,6317,16099.820313,994.349976
2001-01-30,1373.72998,6334.5,15893.070313,996.02002
2001-01-31,1366.01001,6297.5,16102.349609,1007.320007
2001-02-01,1373.469971,6251.799805,16163.990234,994.47998
2001-02-02,1349.469971,6256.399902,16071.290039,986.619995
2001-02-05,1354.310059,6269.200195,15830.839844,986.5
2001-02-06,1352.26001,6293.399902,15913.240234,990.530029
