date,GSPC,FTSE,HSI,N100
2000-12-31,1320.280029,6222.5,15095.530273,997.25
2001-01-31,1366.01001,6297.5,16102.349609,1007.320007
2001-02-28,1239.939941,5917.899902,14787.870117,922.359985
2001-03-31,1160.329956,5633.700195,12760.639648,881.659973
2001-04-30,1249.459961,5967,13386.040039,936.710022
2001-05-31,1255.819946,5796.200195,13174.410156,929.130005
2001-06-30,1224.380005,5642.5,13042.530273,896.369995
2001-07-31,1211.22998,5529.100098,12316.69043,869.780029
2001-08-31,1133.579956,5345,11090.480469,812.700012
2001-09-30,1040.939941,4903.399902,9950.700195,710.409973
2001-10-31,1059.780029,5039.700195,10073.969727,743.130005
2001-11-30,1139.449951,5203.600098,11279.25,773.130005
2001-12-31,1148.079956,5217.399902,11397.209961,800.469971
2002-01-31,1130.199951,5164.799805,10725.299805,779.710022
2002-02-28,1106.72998,5101,10482.549805,774.530029
2002-03-31,1147.390015,5271.799805,11032.919922,819.840027
2002-04-30,1076.920044,5165.600098,11497.580078,783.919983
2002-05-31,1067.140015,5085.100098,11301.94043,753.390015
2002-06-30,989.820007,4656.399902,10598.549805,687.390015
2002-07-31,911.619995,4246.200195,10267.360352,598.929993
2002-08-31,916.070007,4227.299805,10043.870117,596.609985
2002-09-30,815.280029,3721.800049,9072.209961,493.690002
2002-10-31,885.76001,4039.699951,9441.25,556.109985
2002-11-30,936.309998,4169.399902,10069.870117,589.640015
2002-12-31,879.820007,3940.399902,9321.290039,540.27002
2003-01-31,855.700012,3567.399902,9258.950195,513.75
2003-02-28,841.150024,3655.600098,9122.660156,479.670013
2003-03-31,848.179993,3613.300049,8634.450195,460.049988
2003-04-30,916.919983,3926,8717.219727,510.420013
2003-05-31,963.590027,4048.100098,9487.379883,518.289978
2003-06-30,974.5,4031.199951,9577.120117,530.210022
2003-07-31,990.309998,4157,10134.830078,554.619995
2003-08-31,1008.01001,4161.100098,10908.990234,573.159973
2003-09-30,995.969971,4091.300049,11229.870117,545.52002
2003-10-31,1050.709961,4287.600098,12190.099609,582.01001
2003-11-30,1058.199951,4342.600098,12317.469727,589.349976
2003-12-31,1111.920044,4476.899902,12575.94043,608.969971
2004-01-31,1131.130005,4390.700195,13289.370117,623.73999
2004-02-29,1144.939941,4492.200195,13907.030273,640.159973
2004-03-31,1126.209961,4385.700195,12681.669922,620.51001
2004-04-30,1107.300049,4489.700195,11942.959961,627.22998
2004-05-31,1120.680054,4430.700195,12198.240234,623.950012
2004-06-30,1140.839966,4464.100098,12285.75,636.890015
2004-07-31,1101.719971,4413.100098,12238.030273,620.76001
2004-08-31,1104.23999,4459.299805,12850.280273,614.909973
2004-09-30,1114.579956,4570.799805,13120.030273,623.530029
2004-10-31,1130.199951,4624.200195,13054.660156,635.409973
2004-11-30,1173.819946,4703.200195,14060.049805,644.22998
2004-12-31,1211.920044,4814.299805,14230.139648,657.929993
2005-01-31,1181.27002,4852.299805,13721.69043,675.590027
2005-02-28,1203.599976,4968.5,14195.349609,696.599976
2005-03-31,1180.589966,4894.399902,13516.879883,697.75
2005-04-30,1156.849976,4801.700195,13908.969727,669.179993
2005-05-31,1191.5,4964,13867.070313,700.130005
2005-06-30,1191.329956,5113.200195,14201.05957,724.719971
2005-07-31,1234.180054,5282.299805,14880.980469,754.809998
2005-08-31,1220.329956,5296.899902,14903.549805,748.700012
2005-09-30,1228.810059,5477.700195,15428.519531,779.309998
2005-10-31,1207.01001,5317.299805,14386.370117,754.700012
2005-11-30,1249.47998,5423.200195,14937.139648,783.679993
2005-12-31,1248.290039,5618.799805,14876.429688,810.349976
2006-01-31,1280.079956,5760.299805,15753.139648,847.099976
2006-02-28,1280.660034,5791.5,15918.480469,863.5
2006-03-31,1294.869995,5964.600098,15805.040039,896.609985
2006-04-30,1310.609985,6023.100098,16661.300781,894.150024
2006-05-31,1270.089966,5723.799805,15857.889648,842.609985
