date,NDX.Adjusted
2018-08-01,7272.890137
2018-08-02,7372.149902
2018-08-03,7395.490234
2018-08-06,7438.990234
2018-08-07,7462.649902
2018-08-08,7469.549805
2018-08-09,7466.959961
2018-08-10,7408.299805
2018-08-13,7401.169922
2018-08-14,7447.169922
2018-08-15,7354.660156
2018-08-16,7374.290039
2018-08-17,7377.540039
2018-08-20,7371.419922
2018-08-21,7397.22998
2018-08-22,7424.600098
2018-08-23,7413.839844
2018-08-24,7485.399902
2018-08-27,7559.129883
2018-08-28,7570.25
2018-08-29,7660.180176
2018-08-30,7642.669922
2018-08-31,7654.549805
2018-09-04,7622.319824
2018-09-05,7523.259766
2018-09-06,7453.169922
2018-09-07,7430.259766
2018-09-10,7447.680176
2018-09-11,7507.870117
2018-09-12,7488.060059
2018-09-13,7561.689941
2018-09-14,7545.5
2018-09-17,7434.72998
2018-09-18,7494.399902
2018-09-19,7490.319824
2018-09-20,7569.029785
2018-09-21,7531.069824
2018-09-24,7548.75
2018-09-25,7563.189941
2018-09-26,7563.089844
2018-09-27,7629.569824
2018-09-28,7627.649902
2018-10-01,7645.450195
2018-10-02,7628.279785
2018-10-03,7637.430176
2018-10-04,7490
2018-10-05,7399.009766
2018-10-08,7352.819824
2018-10-09,7371.620117
2018-10-10,7044.5
2018-10-11,6964.029785
2018-10-12,7157.209961
2018-10-15,7068.669922
2018-10-16,7276.430176
2018-10-17,7278.629883
2018-10-18,7116.089844
2018-10-19,7107.22998
2018-10-22,7141.209961
2018-10-23,7118.669922
2018-10-24,6789.149902
2018-10-25,7016.390137
2018-10-26,6852.399902
2018-10-29,6713.899902
2018-10-30,6810.120117
2018-10-31,6967.100098
2018-11-01,7069.169922
2018-11-02,6965.290039
2018-11-05,6937.089844
2018-11-06,6988.850098
2018-11-07,7203.129883
2018-11-08,7158.589844
2018-11-09,7039.149902
2018-11-12,6829.100098
2018-11-13,6830.910156
2018-11-14,6769.870117
2018-11-15,6890.450195
2018-11-16,6867.02002
2018-11-19,6642.919922
2018-11-20,6526.959961
2018-11-21,6575.660156
2018-11-23,6527.350098
2018-11-26,6678.339844
2018-11-27,6701.040039
2018-11-28,6913.330078
2018-11-29,6892.399902
2018-11-30,6949.009766
2018-12-03,7062.129883
2018-12-04,6795.209961
2018-12-06,6838.850098
2018-12-07,6613.279785
2018-12-10,6682.740234
2018-12-11,6704.240234
2018-12-12,6763.959961
2018-12-13,6767.970215
2018-12-14,6594.959961
2018-12-17,6448.390137
2018-12-18,6491.52002
2018-12-19,6342.970215
2018-12-20,6243.189941
2018-12-21,6046.560059
2018-12-24,5899.350098
2018-12-26,6262.77002
2018-12-27,6288.299805
2018-12-28,6285.27002
2018-12-31,6329.970215
2019-01-02,6360.870117
2019-01-03,6147.129883
2019-01-04,6422.669922
2019-01-07,6488.25
2019-01-08,6551.850098
2019-01-09,6600.689941
2019-01-10,6620.939941
2019-01-11,6601.399902
2019-01-14,6541.040039
2019-01-15,6669.640137
2019-01-16,6668.560059
2019-01-17,6718.450195
2019-01-18,6784.609863
2019-01-22,6646.810059
2019-01-23,6658.759766
2019-01-24,6702.549805
2019-01-25,6787.370117
2019-01-28,6697.089844
2019-01-29,6632.790039
2019-01-30,6807.910156
2019-01-31,6906.839844
2019-02-01,6875.52002
2019-02-04,6959.959961
2019-02-05,7023.52002
2019-02-06,6997.620117
2019-02-07,6904.97998
2019-02-08,6913.129883
2019-02-11,6909.180176
2019-02-12,7014.669922
2019-02-13,7015.879883
2019-02-14,7022.419922
2019-02-15,7055.180176
